pid,title
1,Cuckoo Song
2,Alison
3,Spring-tide
4,"Blow, Northern Wind"
5,This World’s Joy
6,A Hymn to the Virgin
7,Praise of Women
8,Praise of Women
9,Freedom
10,The Love Unfeigned
11,Balade
12,"Merciles Beaute
A Triple Roundel"
13,Lament for Chaucer
14,Vox ultima Crucis
15,Spring Song of the Birds
16,Robin and Makyne
17,The Bludy Serk
18,To a Lady
19,In Honour of the City of London
20,On the Nativity of Christ
21,Lament for the Makers
22,May in the Green-Wood
23,Carol
24,Quia Amore Langueo
25,The Nut-Brown Maid
26,As ye came from the Holy Land
27,The Lover in Winter Plaineth for the Spring
28,Balow
29,The Old Cloak
30,To Mistress Margery Wentworth
31,To Mistress Margaret Hussey
32,The True Knight
33,An Epitaph
34,Forget not yet
35,The Appeal
36,A Revocation
37,Vixi Puellis Nuper Idoneus ...
38,To His Lute
39,Description of Spring
40,Complaint of the Absence of Her Lover being upon the Sea
41,The Means to attain Happy Life
42,A True Love
43,A Bequest of His Heart
44,A Rondel of Love
45,In Youth is Pleasure
46,Amantium Iræ
47,A Lover’s Lullaby
48,The Night is Near Gone
49,Jolly Good Ale and Old
50,When Flora had O’erfret the Firth
51,Lusty May
52,My Heart is High Above
53,A Praise of His Lady
54,To Her Sea-faring Lover
55,The Faithless Shepherdess
56,Crabbed Age and Youth
57,Phyllida’s Love-Call
58,A Pedlar
59,Hey nonny no!
60,Preparations
61,The New Jerusalem
62,Icarus
63,Madrigal
64,How can the Heart forget her?
65,Tears
66,My Lady’s Tears
67,"Sister, Awake!"
68,Devotion
69,Since First I saw your Face
70,There is a Lady sweet and kind
71,Love not me for comely grace
72,The Wakening
73,Phillida and Coridon
74,A Cradle Song
75,His Pilgrimage
76,His Pilgrimage
77,His Pilgrimage
78,The Conclusion
79,Whilst it is prime
80,A Ditty
81,Prothalamion
82,Epithalamion
83,From ‘Daphnaïda’
84,Easter
85,Cards and Kisses
86,Spring’s Welcome
87,Beauty Bathing
88,The Bargain
89,Song
90,Voices at the Window
91,Philomela
92,The Highway
93,His Lady’s Cruelty
94,Sleep
95,Splendidis longum valedico Nugis
96,Myra
97,Rosalind’s Madrigal
98,Phillis I
99,Phillis 2
100,Rosaline
101,Fair and Fair
102,A Farewell to Arms
103,Samela
104,Fawnia
105,Sephestia’s Lullaby
106,A Summer Day
107,Bridal Song
108,Times go by Turns
109,The Burning Babe
110,On the Death of Sir Philip Sidney
111,Love is a Sickness
112,Ulysses and the Siren
113,"Beauty, Time, and Love"
114,Sonet
115,Ubique
116,To His Coy Love
117,The Parting
118,Sirena
119,Agincourt
120,To the Virginian Voyage
121,The Passionate Shepherd to His Love
122,Her Reply
123,Silvia
124,The Blossom
125,Love
126,Love
127,Love
128,Love
129,Love
130,Love
131,Love
132,Love
133,Sweet-and-Twenty
134,Dirge
135,Under the Greenwood Tree
136,"Blow blow, thou Winter Wind"
137,It was a Lover and his Lass
138,"Take, O take those Lips away"
139,Aubade
140,Fidele
141,Bridal Song
142,Dirge of the Three Queens
143,Orpheus
144,The Phœnix and the Turtle
145,Lullaby
146,Lullaby
147,Lullaby
148,Lullaby
149,Lullaby
150,Lullaby
151,Lullaby
152,Lullaby
153,Lullaby
154,Lullaby
155,Lullaby
156,Lullaby
157,Lullaby
158,Lullaby
159,Lullaby
160,Lullaby
161,Lullaby
162,Lullaby
163,Lullaby
164,Lullaby
165,Lullaby
166,Spring
167,In Time of Pestilence
168,Cherry-Ripe
169,Laura
170,i
171,ii
172,Vobiscum est Iope
173,Hymn in Praise of Neptune
174,Winter Nights
175,Integer Vitae
176,O come quickly!
177,A Nosegay
178,Elizabeth of Bohemia
179,The Character of a Happy Life
180,Upon the Death of Sir Albert Morton’s Wife
181,Man
182,To His Forsaken Mistress
183,To an Inconstant One
184,Hymn to Diana
185,To Celia
186,Simplex Munditiis
187,The Shadow
188,The Triumph
189,An Elegy
190,A Farewell to the World
191,The Noble Balm
192,On Elizabeth L. H.
193,On Salathiel Pavy
194,A Part of an Ode
195,Daybreak
196,Song
197,The Ecstasy
198,The Ecstasy
199,The Dream
200,The Funeral
201,A Hymn to God the Father
202,Death
203,Philomel
204,Sweet Content
205,Matin Song
206,The Message
207,Sleep
208,Bridal Song
209,Aspatia’s Song
210,Hymn to Pan
211,"Away, Delights"
212,Love’s Emblems
213,"Hear, ye Ladies"
214,God Lyaeus
215,Beauty Clear and Fair
216,Melancholy
217,Weep no more
218,A Dirge
219,The Shrouding of the Duchess of Malfi
220,Vanitas Vanitatum
221,Aurora
222,A Litany
223,"Of his Dear Son, Gervase"
224,Invocation
225,Madrigal
226,Spring Bereaved 1
227,Spring Bereaved 2
228,Spring Bereaved 3
229,Her Passing
230,Inexorable
231,Change should breed Change
232,Saint John Baptist
233,Wooing Song
234,On the Tombs in Westminster Abbey
235,Dawn
236,I loved a Lass
237,The Lover’s Resolution
238,The Choice
239,A Widow’s Hymn
240,A Welcome
241,The Sirens’ Song
242,The Rose
243,Song
244,Memory
245,"In Obitum M.S. Xº Maij, 1614"
246,On the Countess Dowager of Pembroke
247,Corinna’s going a-Maying
248,"To the Virgins, to make much of Time"
249,To the Western Wind
250,To Electra
251,To Violets
252,To Daffodils
253,To Blossoms
254,The Primrose
255,The Funeral Rites of the Rose
256,Cherry-Ripe
257,A Meditation for his Mistress
258,Delight in Disorder
259,Upon Julia’s Clothes
260,The Bracelet: To Julia
261,"To Daisies, not to shut so soon"
262,The Night-piece: To Julia
263,"To Music, to becalm his Fever"
264,To Dianeme
265,To Œnone
266,"To Anthea, who may command him Anything"
267,To the Willow-tree
268,The Mad Maid’s Song
269,Comfort to a Youth that had lost his Love
270,To Meadows
271,A Child’s Grace
272,Epitaph
273,Another
274,His Winding-sheet
275,Litany to the Holy Spirit
276,A Divine Rapture
277,Epigram
278,A Contemplation upon Flowers
279,A Renunciation
280,Exequy on his Wife
281,Virtue
282,Easter
283,Discipline
284,A Dialogue
285,The Pulley
286,Love
287,A Hymn
288,Death the Leveller
289,Song
290,Persuasions to Joy: a Song
291,To His Inconstant Mistress
292,The Unfading Beauty
293,Ingrateful Beauty threatened
294,Epitaph
295,Another
296,Time
297,To Roses in the Bosom of Castara
298,Nox Nocti Indicat Scientiam
299,A Devout Lover
300,An Ode to Master Anthony Stafford
301,Aubade
302,To a Mistress Dying
303,Praise and Prayer
304,On a Girdle
305,"Go, lovely Rose"
306,Old Age
307,Hymn on the Morning of Christ’s Nativity
308,On Time
309,At a Solemn Musick
310,L’Allegro
311,Il Penseroso
312,From ‘Arcades’
313,"ii
Echo"
314,"ii
Echo"
315,"iii
Sabrina"
316,"iv
The Spirit epiloguizes:"
317,Lycidas
318,On His Blindness
319,To Mr. Lawrence
320,To Cyriack Skinner
321,On His Deceased Wife
322,Light
323,i
324,ii
325,A Doubt of Martyrdom
326,The Constant Lover
327,Why so Pale and Wan?
328,"When, Dearest, I but think of Thee"
329,A Rose
330,To Chloe
331,Falsehood
332,On the Queen’s Return from the Low Countries
333,On a Virtuous Young Gentlewoman that died suddenly
334,I’ll never love Thee more
335,Coronemus nos Rosis antequam marcescant
336,Wishes to His Supposed Mistress
337,The Weeper
338,A Hymn to the Name and Honour of the Admirable Saint Teresa
339,Upon the Book and Picture of the Seraphical Saint Teresa
340,Verses from the Shepherds’ Hymn
341,Christ Crucified
342,An Epitaph upon Husband and Wife
343,"To Lucasta, going to the Wars"
344,"To Lucasta, going beyond the Seas"
345,Gratiana Dancing
346,"To Amarantha, that she would dishevel her Hair"
347,The Grasshopper
348,"To Althea, from Prison"
349,1. Drinking
350,2. The Epicure
351,3. The Swallow
352,On the Death of Mr. William Hervey
353,The Wish
354,The Resolve
355,An Horatian Ode
356,A Garden
357,To His Coy Mistress
358,The Picture of Little T. C. in a Prospect of Flowers
359,Thoughts in a Garden
360,Bermudas
361,An Epitaph
362,The Retreat
363,Peace
364,The Timber
365,Friends Departed
366,The Shepherd Boy sings in the Valley of Humiliation
367,Thomas the Rhymer
368,Sir Patrick Spens
369,The Lass of Lochroyan
370,The Dowie Houms of Yarrow
371,Clerk Saunders
372,Fair Annie
373,"Edward, Edward"
374,Edom o’ Gordon
375,The Queen’s Marie
376,Binnorie
377,The Bonnie House o’ Airlie
378,The Wife of Usher’s Well
379,The Three Ravens
380,The Twa Corbies
381,A Lyke-Wake Dirge
382,The Seven Virgins.
383,Two Rivers
384,Cradle Song
385,The Call
386,The Bonny Earl of Murray
387,Helen of Kirconnell
388,"Waly, Waly"
389,Barbara Allen’s Cruelty
390,Pipe and Can
391,Love will find out the Way
392,Phillada flouts Me
393,Chloris in the Snow
394,The Relapse
395,Chloe Divine
396,To Cœlia
397,To One persuading a Lady to Marriage
398,Ode
399,"A Song for St. Cecilia’s Day, 1687"
400,"Ah, how sweet it is to love!"
401,Hidden Flame
402,"Song to a Fair Young Lady, going out of the Town in the Spring"
403,Against Indifference
404,Song
405,To a Lady asking him how long he would love her
406,News
407,The Sad Day
408,Song
409,To Chloris
410,To Celia
411,Song
412,The Libertine
413,Return
414,Love and Life
415,Constancy
416,To His Mistress
417,The Reconcilement
418,On One who died discovering her Kindness
419,The Enchantment
420,A Quiet Soul
421,Song
422,The Question to Lisetta
423,"To a Child of Quality
Five Years Old, 1704. The Author then Forty"
424,Song
425,"On My Birthday, July 21"
426,The Lady who offers her Looking-Glass to Venus
427,A Letter
428,For my own Monument
429,Rivals
430,Werena my Hearts licht I wad dee
431,False though She be
432,A Hue and Cry after Fair Amoret
433,Hymn
434,The Day of Judgement
435,A Cradle Hymn
436,Song
437,Peggy
438,On a Fly drinking out of his Cup
439,Song
440,On a certain Lady at Court
441,Elegy to the Memory of an Unfortunate Lady
442,The Dying Christian to his Soul
443,Shorten Sail
444,Sally in our Alley
445,A Drinking-Song
446,The Rosebud
447,Belinda’s Recovery from Sickness
448,On the Death of a particular Friend
449,"Tell me, my Heart if this be Love"
450,One-and-Twenty
451,"On the Death of Mr. Robert Levet, a Practiser in Physic"
452,Absence
453,Elegy written in a Country Churchyard
454,The Curse upon Edward
455,The Progress of Poesy
456,"On a Favourite Cat, Drowned in a Tub of Gold Fishes"
457,Ode to Simplicity
458,How sleep the Brave
459,Ode to Evening
460,Fidele
461,Amoret
462,The Complaint
463,The Nightingale
464,To Leven Water
465,Song to David
466,A Lament for Flodden
467,Woman
468,Memory
469,If Doughty Deeds
470,To Mary Unwin
471,My Mary
472,An Epitaph
473,Ca’ the Yowes to the Knowes
474,Life
475,Prayer for Indifference
476,To the Cuckoo
477,Auld Robin Gray
478,Epigram
479,Song from Ælla
480,Meeting
481,Late Wisdom
482,A Marriage Ring
483,To the Muses
484,To Spring
485,Song
486,Reeds of Innocence
487,The Little Black Boy
488,Hear the Voice
489,The Tiger
490,Cradle Song
491,Night
492,Love’s Secret
493,Mary Morison
494,Jean
495,Auld Lang Syne
496,My Bonnie Mary
497,"John Anderson, my Jo"
498,The Banks o’ Doon
499,Ae Fond Kiss
500,Bonnie Lesley
501,Highland Mary
502,O were my Love yon Lilac fair
503,"A Red, Red Rose"
504,Lament for Culloden
505,The Farewell
506,Hark! The Mavis
507,Sun
508,Moon
509,Time and Grief
510,The Outlaw’s Song
511,A Child
512,The Land o’ the Leal
513,A Boy’s Song
514,Kilmeny
515,i
516,ii
517,iii
518,iv
519,v
520,Upon Westminster Bridge
521,Evening on Calais Beach
522,"On the Extinction of the Venetian Republic, 1802"
523,i
524,ii
525,iii
526,iv
527,v
528,The Solitary Reaper
529,Perfect Woman
530,Daffodils
531,Ode to Duty
532,The Rainbow
533,i
534,ii
535,The World
536,Ode
537,Desideria
538,Valedictory Sonnet to the River Duddon
539,Mutability
540,The Trosachs
541,Speak!
542,Proud Maisie
543,Brignall Banks
544,Lucy Ashton’s Song
545,Answer
546,The Rover’s Adieu
547,1. Innominatus
548,"2. Nelson, Pitt, Fox"
549,The Rime of the Ancient Mariner
550,Kubla Khan
551,Love
552,Youth and Age
553,"Time, Real and Imaginary"
554,Work without Hope
555,Glycine’s Song
556,His Books
557,The Maid’s Lament
558,Rose Aylmer
559,Ianthe
560,Twenty Years hence
561,Verse
562,Proud Word you never spoke
563,Resignation
564,"Mother, I cannot mind my Wheel"
565,Autumn
566,Remain!
567,Absence
568,Of Clementina
569,Ianthe’s Question
570,On Catullus
571,Dirce
572,Alciphron and Leucippe
573,Years
574,Separation
575,Late Leaves
576,Finis
577,The Old Familiar Faces
578,Hester
579,On an Infant dying as soon as born
580,Ye Mariners of England
581,The Battle of the Baltic
582,The Young May Moon
583,The Irish Peasant to His Mistress
584,The Light of Other Days
585,At the Mid Hour of Night
586,May
587,Battle Song
588,Plaint
589,The Sun rises bright in France
590,"Hame, Hame, Hame"
591,The Spring of the Year
592,Jenny kiss’d Me
593,Love and Age
594,The Grave of Love
595,Three Men of Gotham
596,To Death
597,When we Two parted
598,For Music
599,We’ll go no more a-roving
600,She walks in Beauty
601,The Isles of Greece
602,The Children Band
603,The Burial of Sir John Moore after Corunna
604,To Mary
605,Hymn of Pan
606,The Invitation
607,Hellas
608,To a Skylark
609,The Moon
610,Ode to the West Wind
611,The Indian Serenade
612,Night
613,From the Arabic
614,Lines
615,To—— 
616,The Question
617,Remorse
618,"Music, when Soft Voices die"
619,Willie and Helen
620,Burial of the Dead
621,Written in Northampton County Asylum
622,Dirge
623,Song of the Indian Maid
624,Ode to a Nightingale
625,Ode on a Grecian Urn
626,Ode to Psyche
627,To Autumn
628,Ode on Melancholy
629,Fragment of an Ode to Maia
630,Bards of Passion and of Mirth
631,Fancy
632,Stanzas
633,La Belle Dame sans Merci
634,On first looking into Chapman’s Homer
635,When I have Fears that I may cease to be
636,To Sleep
637,Last Sonnet
638,The Outlaw of Loch Lene
639,Song
640,Song
641,To Helene
642,The Fallen Star
643,The Solitary-Hearted
644,Song
645,Early Death
646,Friendship
647,Autumn
648,Silence
649,Death
650,Fair Ines
651,Time of Roses
652,Ruth
653,The Death-bed
654,The Bridge of Sighs
655,The Blind Boy’s Pranks
656,Elena’s Song
657,A Jacobite’s Epitaph
658,Mater Dolorosa
659,The Wife a-lost
660,Fairy Song
661,O sleep my Babe
662,The Child
663,Eileen Aroon
664,Dark Rosaleen
665,The Nameless One
666,Wolfram’s Dirge
667,Dream-Pedlary
668,Song
669,Give All to Love
670,Uriel
671,Bacchus
672,Brahma
673,The Plough
674,King Arthur’s Waes-hael
675,Are they not all Ministering Spirits?
676,The Half-asleep
677,The Bells of Shandon
678,Rosalind’s Scroll
679,The Deserted Garden
680,Consolation
681,Grief
682,i
683,ii
684,iii
685,iv
686,v
687,A Musical Instrument
688,The Holy Tide
689,My Lost Youth
690,Vesta
691,Lament of the Irish Emigrant
692,I do not love Thee
693,Letty’s Globe
694,To Helen
695,Annabel Lee
696,For Annie
697,Old Song
698,From Omar Khayyám
699,Mariana
700, The Lady of Shalott
701,The Miller’s Daughter
702,Song of the Lotos-Eaters
703,St. Agnes’ Eve
704,"Blow, Bugle, blow"
705,Summer Night
706,"Come down, O Maid"
707,From ‘In Memoriam’
708,Maud
709,O that ’twere possible
710,Shadows
711,The Bride
712,Cean Dubh Deelish
713,Cashel of Munster
714,The Fair Hills of Ireland
715,Song from ‘Paracelsus’
716,The Wanderers
717,Thus the Mayne glideth
718,Pippa’s Song
719,You’ll love Me yet
720,Porphyria’s Lover
721,Song
722,Earl Mertoun’s Song
723,In a Gondola
724,Meeting at Night
725,Parting at Morning
726,The Lost Mistress
727,The Last Ride together
728,Misconceptions
729,"Home-thoughts, from Abroad"
730,"Home-thoughts, from the Sea"
731,The Witch’s Ballad
732,Serenade
733,Sorrow
734,The County of Mayo
735,My Lady’s Grave
736,Remembrance
737,The Prisoner
738,Last Lines
739,Airly Beacon
740,The Sands of Dee
741,Say not the Struggle Naught availeth
742,The Imprisoned Soul
743,O Captain! My Captain!
744,Trust Thou Thy Love
745,When the World is burning
746,At Her Window
747,The Forsaken Merman
748,The Song of Callicles
749,To Marguerite
750,Requiescat
751,The Scholar-Gipsy
752,Philomela
753,Shakespeare
754,From the Hymn of Empedocles
755,The Flowers
756,The Thought
757,Maritæ Suæ
758,Mimnermus in Church
759,Heraclitus
760,The Married Lover
761,‘If I were dead’
762,Departure
763,The Toys
764,A Farewell
765,The Ballad of Keith of Ravelston
766,Return!
767,A Chanted Calendar
768,Laus Deo
769,The Fairies
770,That Holy Thing
771,The Blessèd Damozel
772,Love in the Valley
773,Phœbus with Admetus
774,Tardy Spring
775,Love’s Grave
776,Lucifer in Starlight
777,Love
778,Barbara
779,Bride Song
780,A Birthday
781,Song
782,Twice
783,Uphill
784,Passing Away
785,Marvel of Marvels
786,Is it Well with the Child?
787,Remember
788,Aloof
789,Rest
790,Dora
791,Jessie
792,Salve!
793, My Garden
794,A Night in Italy
795,The Last Wish
796,In the Train
797,Sunday up the River
798,Gifts
799,The Vine
800,Summer Dawn
801,Love is enough
802,The Nymph’s Song to Hylas
803,The Water-Nymph and the Boy
804,The Old
805,"Meet We no Angels, Pansie?"
806,To Two Bereaved
807,Wassail Chorus at the Mermaid Tavern
808,Chorus from ‘Atalanta’
809,Hertha
810,Ave atque Vale
811,Itylus
812,Earliest Spring
813,What the Bullet sang
814,Maureen
815,Aghadoe
816,Song
817,The Desolate City
818,With Esther
819,"To Manon, on his Fortune in loving Her"
820,St. Valentines Day
821,Gibraltar
822,Written at Florence
823,The Two Highwaymen
824,A Garden Song
825,Urceus Exit
826,In After Days
827,Mooni
828,Ode
829,Song
830,The Fountain of Tears
831,A White Rose
832,My Delight and Thy Delight
833,Spirits
834,Nightingales
835,A Passer-by
836,Absence
837,On a Dead Child
838,Pater Filio
839,Winter Nightfall
840,When Death to Either shall come
841,The Odyssey
842,Invictus
843,Margaritæ Sorori
844,"England, My England"
845,Revelation
846,Romance
847,In the Highlands
848,Requiem
849,The Dead at Clonmacnois
850,Song
851,The Last Rose
852,Song
853,Ode in May
854,The Great Misgiving
855,Prayers
856,Going down Hill on a Bicycle
857,Why
858,My Grief on the Sea
859,The Phœnix
860,He fell among Thieves
861,Reunited
862,Where My Books go
863,When You are Old
864,The Lake Isle of Innisfree
865,A Dedication
866,L’Envoi
867,Recessional
868,Song
869,The Second Crucifixion
870,Invocation to Youth
871,"O World, be Nobler"
872,By the Margin of the Great Deep
873,The Great Breath
874,A Duet
875,The Poppy
876,Non Nobis
877,Sheep and Lambs
878,An Upper Chamber
879,Renouncement
880,The Lady of the Lambs
881,Ireland
882,Genius Loci
883,Dominus Illuminatio Mea
